Title,Date,Article
최고치 갈아치운 사전투표율…21대 총선 투표율 ‘66.2%’ 깰까,2024/04/09 16:55,"제22대 국회의원 선거 사전 투표 둘째 날인 6일 오후 전남 나주 남평초등학교 사전투표소에서 유권자들이 신중하게 투표하고 있다. 2024.4.6. 뉴스14·10 총선이 하루 앞으로 다가온 가운데 사전투표율이 역대 총선 중 최고치를 기록하며 본 투표에서도 열기가 이어질지 주목된다. 더불어민주당에서는 최종 투표율이 70%를 넘어설 것이라고 목표치를 제시하면서, 이 같은 예측이 적중할지에도 관심이 모인다.9일 중앙선거관리위원회에 따르면, 지난 5일부터 이틀간 진행된 제22대 총선 사전투표에서 전체 유권자 4428만 11명 중 1384만 9043명이 참여해 최종 투표율은 31.28%를 기록했다. 이는 사전투표가 적용된 총선 중 최고치다. 지난 2020년 제21대 총선 사전투표율(26.69%)보다 4.59%포인트(p) 높다.총투표율도 꾸준히 높아졌다. 지난 18대 국회의원선거에서 46.1%를 기록하며 역대 최저치를 찍은 투표율은 지난 19대 54.2%, 20대 58.0%로 꾸준히 상승했다. 지난 21대 총선에서는 66.2%까지 오르며 역대급 투표율이라는 평가가 나오기도 했지만 70%의 벽을 넘지는 못했다.김민석 민주당 총선 상황실장은 “민주당은 사전투표율 31.3%, 총투표율 71.3%를 목표로 삼고, 투표 참여를 호소할 것”이라고 말한 바 있다. 이는 실제 사전투표율과 소숫점 한 자리수까지 일치하는 수치다.다만 높은 사전투표율이 꼭 높은 총투표율로 이어지지 않는다는 전망도 있다. 2년 전 20대 대선에선 사전투표율이 36.9%로 전국 단위 선거 중 최고치를 기록했지만, 최종 투표율은 19대 대선보다 줄어든 77.1%를 기록한 바 있다.투표율이 높을수록 진보정당에 유리하다는 것이 기존의 통설인 만큼 민주당에서는 높은 투표율을 긍정적 신호로 해석하고 있다. 이와 반대로 투표율이 70%마저 넘어서면 보수층도 결집한 결과라고 보고 유불리를 예단할 수 없다는 분석도 있다.신율 명지대 교수는 “사전투표율이 높을수록 본투표율이 높다는 상관관계는 없어 이번 총선 총투표율이 어떻게 될지는 미지수”라고 전망했다. 그러면서 “최종 투표율이 70%에 근접하면 국민의힘이 이길 것”이라며 “유권자들의 주관적 이념 지형이 보수 우위이기 때문에 투표율이 높을수록 그대로 반영돼 국민의힘에 유리하다”고 분석했다.(서울=뉴스1)"
사전투표 둘째날 오후 4시 투표율 28.1%…21대 최종 사전투표율 돌파,2024/04/06 16:23,"중앙선거관리위원회 선거통계시스템에 따르면 6일 오후 4시 기준 전체 유권자 4428만11명 중 1244만2964명이 사전투표에 참여, 투표율 28.10%를 기록했다. ⓒ News122대 총선 사전투표 둘째 날인 6일 오후 4시 기준 현재 전국 누계 투표율이 28.1%를 기록했다. 이는 21대 총선 당시 사전투표 최종 투표율인 26.69%를 넘긴 수치다.중앙선거관리위원회에 따르면 이날 오후 3시 기준 현재 전국 4428만11명의 유권자 중 1244만2964명이 사전투표에 참여했다.현재까지 이번 총선의 사전투표율은 지난 총선보다 4.64%p 높다. 지난 21대 총선의 사전투표 둘째 날 오후 4시 기준 집계 투표율은 23.46%였다. 현재 누계 투표율은 21대 사전투표 최종 투표율(26.69%)보다도 1.41%p 높다.역대 최고를 기록한 지난 20대 대선과 비교했을 땐 낮은 수치로, 전날 사전투표 초반엔 투표율이 높았지만 오전 10시를 기점으로 꺾였다. 지난 대선 당시 둘째 날 오후 4시 기준 사전투표율은 32.76%였다.지역별로는 전남이 38.07%로 가장 높은 투표율을 유지했다. 전북이 35.22%, 광주가 34.3%로 그 뒤를 이었다. 세종(32.52%), 강원(29.95%), 서울(29%), 경북(28.15%) 등이 전국 평균보다 투표율이 높았다.대구는 22.88%로 전국 최저치를 기록하고 있으며, 제주(25.8%), 경기(26.33%), 부산(26.63%), 울산(26.71%), 인천(26.91%), 대전(27.06%), 충남(27.5%), 경남(27.65%), 충북(27.81%) 등이 전국 평균보다 낮은 투표율로 집계됐다.사전투표는 이날 오후 6시까지 전국 3565개 투표소에서 진행된다. 주민등록증이나 운전면허증, 관공서·공공기관이 발행한, 사진이 첨부된 신분증 등이 있으면 주소지와 상관없이 전국 어디서든 투표할 수 있다.(서울=뉴스1)"
사전투표율 둘째날 오후 5시 29.67%…최종 30% 돌파 ‘확실’,2024/04/06 17:24,"중앙선거관리위원회 선거통계시스템에 따르면 6일 오후 5시 기준 전체 유권자 4428만11명 중 1313만5999명이 사전투표에 참여, 투표율 29.67%를 기록했다. ⓒ News122대 총선 사전투표 둘째 날인 6일 오후 5시 기준 현재 전국 누계 투표율이 29.67%로 집계됐다.중앙선거관리위원회에 따르면 이날 오후 5시 기준 현재 전국 4428만11명의 유권자 중 1313만5999명이 사전투표에 참여했다.현재까지 이번 총선의 사전투표율은 지난 총선보다 4.72%p 높다. 지난 21대 총선의 사전투표 둘째 날 오후 5시 기준 집계 투표율은 24.95%였다. 현재 누계 투표율은 21대 사전투표 최종 투표율(26.69%)보다도 2.98%p 높다.역대 최고를 기록한 지난 20대 대선과 비교했을 땐 낮은 수치로, 전날 사전투표 초반엔 투표율이 높았지만 오전 10시를 기점으로 꺾였다. 지난 대선 당시 둘째 날 오후 5시 기준 사전투표율은 34.69%였다.지역별로는 전남이 39.63%로 가장 높은 투표율을 유지했다. 전북이 36.83%, 광주가 36.15%로 뒤를 이었다. 세종(34.61%), 강원(31.32%), 서울(30.76%) 등이 전국 평균보다 투표율이 높은 것으로 나타났다.대구는 24.23%로 전국 최저치를 유지했다. 제주(27.17%), 경기(27.9%), 부산(28.11%), 울산(28.38%), 인천(28.47%), 대전(28.64%), 충남(28.89%), 경남(29.11%), 충북(29.24%), 경북(29.47%) 등이 전국 평균보다 낮은 투표율을 보였다.사전투표는 이날 오후 6시까지 전국 3565개 투표소에서 진행된다. 주민등록증이나 운전면허증, 관공서·공공기관이 발행한, 사진이 첨부된 신분증 등이 있으면 주소지와 상관없이 전국 어디서든 투표할 수 있다.(서울=뉴스1)"
사전투표 둘째날 오전 10시 투표율 19.04%…21대 대비 3.88%p ↑,2024/04/06 10:20,"중앙선거관리위원회 선거통계시스템에 따르면 6일 오전 10시 기준 전체 유권자 4428만11명 중 843만301이 사전투표에 참여, 투표율 19.04%를 기록했다. ⓒ News1제22대 총선 사전투표 둘째 날인 6일 오전 10시 현재 전국 누계 투표율이 19.04%로 나타났다.중앙선거관리위원회에 따르면 이날 오전 10시 기준 현재 전국 4428만11명의 유권자 중 843만301명이 사전투표에 참여한 것으로 집계됐다.현재까지 이번 총선의 사전투표율은 지난 총선보다 높다. 지난 21대 총선의 사전투표 둘째 날 오전 10시 기준 집계 투표율은 15.16%였다.역대 최고를 기록한 지난 20대 대선과 비교했을 땐 낮은 수치로, 전날 사전투표 초반엔 투표율이 높았지만 오전 10시를 기점으로 꺾였다. 지난 대선 당시 둘째 날 오전 10시 기준 사전투표율은 21.62%였다.지역별로는 전남이 28.2%로 가장 높은 투표율을 유지했다. 전북이 25.54%, 광주가 23.84%로 뒤를 이었다. 강원(21.16%), 세종 (20.88%), 경북(19.68%), 서울(19.25%), 충북(19.18%), 충남(19.17%) 등은 전국 평균보다 높은 투표율을 보였다.대구는 14.98%로 전국 최저치를 기록했다. 인천(17.93%), 경기(17.42%), 대전(17.99%), 부산(17.86%), 울산(17.99%) 등도 전국 평균보다 낮은 사전 투표율을 기록했다.사전투표는 이날 오후 6시까지 전국 3565개 투표소에서 진행된다. 주민등록증이나 운전면허증, 관공서·공공기관이 발행한, 사진이 첨부된 신분증 등이 있으면 주소지와 상관없이 전국 어디서든 투표할 수 있다.(서울=뉴스1)"
“지역 위해선 한표도 소중”…사전투표 마지막 시간까지 북적,2024/04/06 18:19,"사전 투표 마지막 날 가족 단위 유권자 몰려유모차 아이 태우고 온 부부부터 반려견까지""얼른 투표하고 놀러가려고 아침부터 준비해""오후 6시 다 돼감에도 투표하려는 시민들 북적""나들이 끝내고 투표 늦지 않게 달려왔다""""30분 기다렸어…늦지 않고 투표해서 다행""ⓒ뉴시스4·10 총선 사전투표 마지막 날인 6일 서울 곳곳에 마련된 사전투표소에는 나들이를 가기 전 한 표를 행사하려는 주민들로 붐볐다.이날 오전 11시께 뉴시스가 찾은 서울 영등포구 여의도동 주민센터에는 가족·커플 단위로 함께 투표를 하러 온 시민들이 몰렸다. 이에 투표용지 발급 기계는 쉴 새 없이 작동했다.특히 유모차에 아이를 태우고 온 젊은 부부, 반려견을 데리고 온 가족, 벚꽃 데이트를 즐기기 전 손을 잡고 온 커플들이 눈에 띄었다.유모차에 아이를 태우고 아내와 함께 투표소 찾은 40대 남성 김모씨는 “벚꽃 구경도 하고 투표도 할 겸 오전부터 준비해서 일찍 나왔다”며 “특히 날씨도 좋아서 아이랑 꽃구경할 예정이다”20대 딸과 함께 투표소에 온 50대 여성 이모씨도 “투표 시간 놓칠까 봐 꽃놀이하던 중에 서둘러 왔다”며 “벚꽃도 보고, 내 소중한 한 표도 행사해서 기분 좋다”고 말했다.남편, 딸 2명에 반려견까지 데리고 온 50대 여성 김모씨는 “얼른 투표 하고 놀러 가려고 아침부터 준비해서 나왔다”며 “지역을 위해 정말 잘 일할 것 같은 사람에게 투표했고, 이제 한 표 행사했으니 커피도 한잔하고 꽃도 보고 들어가려고 한다”고 말하며 웃었다.사전투표를 마친 뒤 밖으로 나온 몇몇 시민들은 기표 도장이 찍힌 자신의 손등과 손목을 앞세워 기념사진을 찍기도 했다.여자친구와 함께 사전투표를 한 후 인증샷을 찍은 30대 남성 정모씨는 “투표도 하고, 벚꽃도 구경하려고 왔다”며 “투표라는 게 당연히 해야 하는 것 아니냐. 그래서 여자친구랑 시간 내서 왔다”고 웃으며 이야기했다.봄날씨에 맞게 화사한 옷차림을 하고 남자친구의 손을 잡은 채 투표소에 온 송한나(33)씨는 “직장 다니는데 오늘 쉬니까 나온 김에 투표했다”며 “이제 남자친구와 꽃구경을 가려고 한다”고 전했다.투표 마감을 앞두고는 벚꽃 나들이 등 각자의 일정을 끝내고 몰려든 시민들로 투표소가 북적였다.특히 이날 오후 5시께 서울 성북구 성북구청에는 대학교 과 잠바(과잠)을 입고 온 대학생부터 거동이 불편한 노인들까지 다양한 연령대의 유권자들이 몰려 긴 대기 줄이 만들어지기도 했다.벚꽃 구경을 하고 투표 시간이 끝나기 전 달려왔다는 50대 여성 이모씨는 “친구들과 꽃구경 하며 놀다가 투표 못할까 봐 얼른 왔다”며 “투표권 행사는 해서 이번 판을 바꿔보자 이런 생각으로 왔다”고 말했다.주말임에도 회사에서 일하다 퇴근 후 왔다는 20대 여성 김모씨는 “본 투표 날에는 사람이 많이 몰릴 것 같아 지금 왔는데, 오늘도 사람이 엄청 많다”며 “30분을 기다렸다”고 말했다. 김씨는 “그래도 다행히 늦지 않고 투표해서 다행”이라며 웃었다.마감 시간 전 투표를 끝내고 친구를 기다리고 있던 강효정(32)씨는 “친구들과 나들이를 갔다 시간 늦지 않게 왔다”며 “청년으로서 청년 정책에 조금이라도 신경을 써주는 사람에게 투표권을 행사했다”고 전했다.인근 절에서 일한다는 권태우(66)씨도 사전 투표를 마치고 “절은 쉬는 날이 따로 없어 늦게라도 투표소에 왔다”며 “지역을 위해서라면 제 한 표도 소중하다고 생각해 투표했다”고 밝혔다.한편 전날(5일) 오전 6시부터 진행된 누적 사전투표율은 이날 오후 5시 기준 29.67%로 집계됐다. 전체 유권자 4428만11명 가운데 1313만5999명이 투표를 마친 것이다.이는 지난 2020년 21대 총선의 사전투표 동시간대 투표율(26.69%)과 비교해 4.72%포인트(p) 높은 수치로 사전투표가 적용된 총선 기준으로는 동시간대 최고치다.[서울=뉴시스]"
사전투표 둘째날 오후 1시 투표율 23.41%…21대 대비 4.33%p ↑,2024/04/06 13:27,"중앙선거관리위원회 선거통계시스템에 따르면 6일 오후 1시 기준 전체 유권자 4428만11명 중 1036만5722명이 사전투표에 참여, 투표율 23.41%를 기록했다. ⓒ News122대 총선 사전투표 둘째 날인 6일 오후 1시 현재 전국 누계 투표율이 23.41%로 나타났다.중앙선거관리위원회에 따르면 이날 오후 1시 기준 현재 전국 4428만11명의 유권자 중 1036만5722명이 사전투표에 참여한 것으로 집계됐다.현재까지 이번 총선의 사전투표율은 지난 총선보다 4.33%포인트(p) 높다. 지난 21대 총선의 사전투표 둘째 날 오후 1시 기준 집계 투표율은 19.08%였다.역대 최고치를 기록한 지난 20대 대선과 비교했을 땐 낮은 수치로, 전날 사전투표 초반에는 투표율이 높았으나 오전 10시를 기점으로 꺾였다. 지난 대선 당시 둘째 날 오후 1시 기준 사전투표율은 26.89%였다.지역별로는 전남이 32.96%로 가장 높은 투표율을 기록했다. 전북이 30.24%, 광주 28.77%로 뒤를 이었다. 세종(26.59%), 강원(25.46%), 서울(23.90%), 경북(23.82%) 등은 전국 평균보다 높은 투표율을 보였다.대구는 18.79%로 전국 최저치를 유지했다. 제주(21.69%), 경기(21.71%), 부산(22.13%), 울산(22.24%), 인천(22.31%), 대전(22.33%), 경남(23.06%), 충남(23.26%), 충북(23.40%) 등은 전국 평균보다 낮은 투표율을 기록했다.사전투표는 이날 오후 6시까지 전국 3565개 투표소에서 진행된다. 주민등록증이나 운전면허증, 관공서·공공기관이 발행한, 사진이 첨부된 신분증 등이 있으면 주소지와 상관없이 전국 어디서든 투표할 수 있다.(서울=뉴스1)"
사전투표 둘째날 오후 3시 투표율 26.53%…21대 총선 대비 4.58%p↑,2024/04/06 15:52,"중앙선거관리위원회 선거통계시스템에 따르면 6일 오후 3시 기준 전체 유권자 4428만11명 중 1174만7305명이 사전투표에 참여, 투표율 26.53%를 기록했다. ⓒ News122대 총선 사전투표 둘째 날인 6일 오후 3시 현재 전국 누계 투표율이 26.53%로 나타났다.중앙선거관리위원회에 따르면 이날 오후 3시 기준 현재 전국 4428만11명의 유권자 중 1174만7305명이 사전투표에 참여했다.현재까지 이번 총선의 사전투표율은 지난 총선보다 4.58%포인트(p) 높다. 지난 21대 총선의 사전투표 둘째 날 오후 3시 기준 집계 투표율은 21.95%였다.역대 최고를 기록한 지난 20대 대선과 비교했을 땐 낮은 수치로, 전날 사전투표 초반엔 투표율이 높았지만 오전 10시를 기점으로 꺾였다. 지난 대선 당시 둘째 날 오후 3시 기준 사전투표율은 30.74%였다.지역별로는 전남이 36.45%로 가장 높은 투표율을 기록했다. 전북이 33.58%, 광주가 32.47%로 그 뒤를 이었다. 세종(30.51%), 강원(28.52%), 서울(27.26%), 경북(26.77%) 등이 전국 평균보다 높은 투표율을 보였다.대구는 21.51%로 전국 최저치를 유지하고 있으며, 제주(24.45%), 경기(24.76%), 부산(25.14%), 울산(25.18%), 인천(25.35%), 대전(25.44%), 충남(26.10%), 경남(26.14%), 충북(26.38%) 등이 전국 평균보다 투표율이 낮았다.사전투표는 이날 오후 6시까지 전국 3565개 투표소에서 진행된다. 주민등록증이나 운전면허증, 관공서·공공기관이 발행한, 사진이 첨부된 신분증 등이 있으면 주소지와 상관없이 전국 어디서든 투표할 수 있다.(서울=뉴스1)"
사전투표 둘째날 오전 7시 투표율 16.17%…전남이 가장 높아,2024/04/06 8:23,"ⓒ뉴시스중앙선거관리위원회 선거통계시스템에 따르면 6일 오전 7시 기준 전체 유권자 4428만11명 중 715만8347명이 사전투표에 참여, 투표율 16.17%를 기록했다. News1중앙선거관리위원회는 제22대 국회의원 선거 사전투표 둘째 날인 6일 오전 7시 기준 누적 투표율이 16.17%로 집계됐다고 밝혔다.전날 오전 6시부터 진행된 사전투표에서 전체 유권자 4428만11명 가운데 715만8347명이 투표를 마쳤다.이는 지난 21대 총선의 동시간대 사전투표율 12.65% 보다 높은 수치다. 다만 2년 전 대선때 동시간대 사전투표율 18.29%보다는 낮다.이날 오전 7시까지 지역별 누적 투표율은 전남이 24.33%로 가장 높고, 전북이 21.97%, 광주가 20.58%로 뒤를 이었다.이어 강원 18.2%, 세종 17.53%, 서울 16.41%, 충북 16.24%, 충남 16.23%이 전국 평균보다 높은 투표율을 보였다.대구는 12.65%로 가낮 낮았다. 인천 15.09%, 대전 15.18%, 부산 15.31%, 울산 15.36%도 전국 평균보다 낮은 사전 투표율을 기록했다.사전투표는 이날 오후 6시까지다. 투표하러 갈 때는 본인의 주민등록증, 여권, 운전면허증 등 관공서 또는 공공기관이 발행하고 생년월일과 사진이 첨부돼 본인임을 확인할 수 있는 신분증을 가지고 가야 한다.사전투표소 위치는 중앙선관위 홈페이지(https://nec.go.kr)나 포털사이트에서 확인 가능하다.박태근 동아닷컴 기자 ptk@donga.com"
“본투표같은 사전투표”…수도권-PK 격전지 투표율 더 올라,2024/04/05 21:24,"4·10 총선 사전투표 첫날 최종 투표율이 2년 전 대선(17.57%)보다는 낮았지만 사전투표가 적용된 역대 총선 중 역대 최고치인 15.61%로 집계되자 전문가들은 2014년 도입된 사전투표 제도가 안착하는 추세 속에 여야가 경쟁적으로 사전투표 단계부터 지지층 참여를 독려했기 때문이라고 분석했다. “이제 유권자들이 3일(사전투표 2일, 본투표 1일)간 투표한다고 생각”(박성민 정치컨설팅 민 대표)하기 시작한 가운데 2017년 박근혜 전 대통령 탄핵 이후 더욱 거세진 진영 투표 양상이 사전투표 때부터 나타나고 있다는 것. 실제로 여야 지도부가 선거운동 기간 집중 공략한 접전 지역인 수도권을 중심으로 직전 총선 대비 사전투표율 상승세가 두드러졌다.● 수도권 투표율 상승치 전국보다 높아중앙선거관리위원회에 따르면 전국 17개 시도 모든 지역의 사전투표 첫날 투표율이 4년 전 총선 때보다 증가했다. 이번 총선 최대 격전지로 꼽히는 한강벨트가 있는 서울의 경우 투표율이 15.83%로 4년 전(12.18%)보다 3.65%포인트 늘었다. 전국 투표율 상승치(3.47%포인트)를 상회하는 수치다. 경기(14.03%)와 인천(14.50%) 역시 각각 전국 투표율 상승치보다 높은 3.68%포인트와 3.57%포인트씩 올랐다. 부산(14.83%)과 울산(14.8%)의 4년 전 총선 대비 상승치도 전국 상승치 수준이거나 그보다 높았다. 경남(15.27%)의 첫날 투표율도 전국 투표율과 비슷한 수준이었다. 충북(15.69%)과 충남(15.7%)은 투표율과 4년 전 배디 상승치 모두 전국보다 높았다.이는 여야가 접전을 펼치고 있는 박빙 지역이 몰린 수도권과 PK(부산·경남), 충청 등에서 연일 집중적으로 지지층 결집을 호소한 결과라는 분석이다. 국민의힘 한동훈 비상대책위원장과 더불어민주당 이재명 대표는 공식 선거운동이 시작된 지난달 28일 이후 수도권을 집중 공략해왔다.이번에도 호남 사전투표율이 영남에 비해 상대적으로 높은 ‘호고영저’ 현상이 두드러졌다. 전국 17개 시도 중 전남(23.67%), 전북(21.36%), 광주(19.96%)가 4년 전에 이어 이번에도 사전투표 첫날 투표율 상위 3개 지역에 이름을 올렸다. 반면 대구는 12.26%로 전국 17개 시도 중 가장 낮았다. 경북은 16.24%로, 영남에선 가장 높았지만 호남에 비해서는 낮았다.호남 지역 사전투표율이 다른 지역보다 높은 것에 대해 민주당 관계자는 “민주당 텃밭인 이들 지역 유권자들은 대부분 지지 정당을 일찌감치 정해두고, 본투표일까지 각종 변수가 생기더라도 이를 바꾸지 않는 성향이 강하기 때문”이라고 했다.반면 대구 투표율이 유독 낮은 것에 대해 국민의힘 관계자는 “보수 텃밭인 대구는 전통적으로 역대 어느 선거든 사전투표율은 낮고 본투표 때 몰리는 경향이 있었다”고 했다. 국민의힘은 대구 지역 사전투표율이 12.26%로, 4년 전 21대 총선 투표율(10.24%)보다 2.02%포인트 오른 것에 주목했다. 국민의힘 선대위 관계자는 “가장 보수세가 강한 대구에서도 사전투표 상승세가 나타났다는 건 지지층이 결집하고 있다는 증거”라고 했다.● 본투표까지 상승 효과 이어질지 주목크게보기제22대 총선 사전투표 첫날인 5일 오전 인천공항 제1터미널 사전투표소를 찾은 여행객들이 투표권을 행사하기 위해 길게 줄지어 순서를 기다리고 있다. 신원건 기자 laputa@donga.com사전투표 첫날 나타난 상승세가 전체 투표율의 상승으로까지 이어질 수 있을지를 두고는 전문가들 사이 해석이 엇갈렸다.박성민 대표는 “사전투표율이 높아지면 본투표율을 좀 끌어올릴 수는 있다”며 “사전투표율이 올라가면 착시가 생겨 본투표에서 안하려던 사람들도 투표할 가능성이 생긴다”고 말했다. 채진원 경희대 공공거버넌스연구소 교수는“그 동안 사전투표에서 민주당 지지층이 주로 투표를 해오던 것에 대한 견제와 균형의 심리가 작용하면서 국민의힘 지지자들도 투표에 참여한 것으로 보인다”고 했다.반면 이준한 인천대 정치외교학과 교수는 “처음 사전투표 제도가 도입됐을 땐 본투표를 하지 못하는 사람들의 ‘순유입효과’가 두드러졌다면 이제는 사전투표 제도가 유권자 인식 속에서 본투표의 연장선으로 자리매김하게 되면서 본투표 투표율을 분산하는 ‘마이너스 효과’가 강해지고 있는 상황”이라며 “직전 대선과 지방선거 사례를 비춰봤을 때 전체 총선 투표율 상승세로 이어질 수 있을지는 두고봐야 한다”고 했다. 역대 최고 사전투표율을 찍은 20대 대선의 경우 사전투표율이 19대 대선보다 10.87%포인트 높았지만 전체 투표율은 0.1%포인트 줄었다.강성휘 기자 yolo@donga.com신나리 기자 journari@donga.com"
‘31%’ 역대 총선 최고 사전투표율…“與 지지층 참여 때문” “정권심판 열기”,2024/04/06 19:47,"한동훈 국민의힘 총괄선대위원장과 이재명 더불어민주당 대표가 5일 각각 서울 서대문구 신촌동과 대전 중구 은행선화동에서 사전투표를 마치고 기자회견을 하고 있다. 2024.4.5/뉴스1제22대 총선 사전투표율이 역대 총선 최고치인 31.28%를 기록했다. 윤석열 정부 출범 3년차에 치러지는 ‘중간선거’인만큼 유권자들의 관심이 쏠린 결과로 보인다. 여야 지도부가 나서 투표를 독려하며 지지층 결집을 도모한 것 역시 높은 투표율의 배경으로 꼽힌다.정치권에서는 이같이 높은 투표율이 어느 쪽에 유리할지 알 수 없다는 평가가 나온다. 통상 투표율이 높으면 야권에, 낮으면 여권에 유리하다는 게 정치권의 정설이지만, 여야가 첨예하게 대립하고 지지층이 대거 투표에 참여하면서 유불리를 예측하기 쉽지 않다는 분석이다.투표율은 세대별로 뚜렷한 경향성을 보인다. 전체 투표율은 젊은층에서 상대적으로 낮게 나타난다. 노년층은 사전투표보다는 본투표에 더 많이 참여한다는 분석도 있다.이 때문에 높은 사전투표율을 놓고 젊은층 참여가 늘었을 것이라는 분석이 있다. 진보계열 정당이 유리하다는 주장도 여기에 근거한다. 하지만 사전투표제도가 안착하면서 젊은층 뿐 아니라 노년층까지 참여 열기기 확산하고 있다.중앙선거관리위원회에 따르면 5~6일 이틀에 걸쳐 진행된 사전투표의 최종 투표율은 31.28%다. 이는 지난 21대 총선 26.69%보다 4.59%포인트(p) 높은 것으로, 총선 기준 가장 높은 투표율이다. 다만, 역대 최고 사전투표율을 기록한 지난 20대 대선 당시 36.93%와 비교하면 5.65%%p 낮다. 선관위는 투표율을 산출할 뿐 연령별 투표율은 따로 집계하지 않는다.높은 투표율 배경에는 치열한 여야 경쟁이 자리하고 있다. 윤석열정부 출범 후 처음으로 진행되는 전국단위 선거로 야당의 ‘정권심판론’과 여당의 ‘정권안정론’ ‘이조(이재명.조국) 심판’이 맞붙으면서 여야 지지층이 결집한 결과란 분석이다. 2014년 도입 이후 올해로 10년 차를 맞이하면서 국민들에게 제도가 익숙해졌다는 점도 사전투표율이 높은 이유로 꼽힌다.투표를 독려한 만큼 여야는 높은 사전투표 열기가 자신에게 유리할 것이라고 목소리를 높이고 있다.한동훈 국민의힘 비상대책위원장은 이날 유세에서 “사전투표에서 기세를 올리는 첫번째 선거가 될 것”이라며 “남은 시간 동안 주위를 설득해달라”고 말했다. 당 관계자 역시 “사전투표에 우리 지지층도 대거 나오면서 투표율이 높아진 것”이라고 강조했다.반면 이재명 민주당 대표는 “투표하지 않은 몫만큼은 이 사회 기득권자가 차지하게 된다”며 투표를 독려했다. 강선우 민주당 대변인은 이날 브리핑에서 “역대 총선 사상 최고치를 기록한 사전투표율을 통해 ‘하루라도 빨리’ 윤석열 정권을 심판하겠다는 성난 민심이 확인됐다”고 평가했다.전문가들은 높은 사전투표율에 대한 유불리를 쉽게 예측하기 힘들다는 평가다. 정치권에서는 투표율이 높으면 야권이, 낮으면 여권이 유리하다는 게 일반적 시각이다. 이번 선거를 앞두고 민주당은 투표율 65%가 넘으면 야권에 유리할 것이란 분석과 함께 사전투표율 31%를 목표치로 내세운 것도 이 때문이다.앞선 선거에서 전체 유권자의 40%가 사전투표에 참여한 점을 고려할 때, 사전투표율이 31%를 넘어서면 최종 투표율은 60% 중후반대를 기록할 것이란 게 야권의 기대다.다만, 여야 지지층이 결집 현상을 보이면서 유불리를 예측하기 어렵다는 게 정치권의 평가다. 박상병 정치평론가는 “민주당은 투표율이 높으면 야권에 유리할 것으로 평가하지만, 세대별 투표율이 중요하다”며 “여당이 강세를 보인 60세 이상 투표율과 야권이 강세를 보인 30~50대 투표율을 비교해봐야 한다”고 말했다.신율 명지대 교수는 “여론조사를 보면 전체적으로 ‘보수’라고 응답한 유권자가 많다. 선거지형에서 보수가 강세”라며 “투표율이 높다는 것은 보수적 여론이 투표에 투영될 가능성이 높다는 것”이라고 말했다.(서울=뉴스1)"
