Title,Date,Article
“참정권 행사 못 할 수도…” 선거인 명부 열람 24~26일,2024/03/22 15:42,"선거인 명부 열람하고, 오류 있는 경우 이의신청인터넷 또는  구·시·군청 방문해 확인 가능선거인 명부 누락돼 투표 못하는 사례 종종 발생""선거권 있어도 명부 등재 안 되면 투표 못 해""ⓒ뉴시스제22대 국회의원 선거 선거인 명부 열람이 오는 24~26일 진행된다. 종종 선거인 명부 누락으로 참정권을 행사하지 못하는 사례가 발생하는 만큼 선거권자의 확인이 필요하다.22일 경기도선거관리위원회에 따르면 제22대 국회의원선거의 선거권자는 오는 24일부터 26일까지 선거인명부를 열람하고, 누락이나 잘못된 표기 등 오류가 있는 경우 이의신청 할 수 있다.선거인명부는 구·시·군 장이 선거일 명부 작성 기준일인 3월19일 현재 관할 구역에 주민등록이 돼 있는 선거권자를 대상으로 하며, 19일부터 5일 동안 작성된다.선거인명부는 인터넷 또는 주민등록이 돼 있는 구·시·군청에 직접 방문해 확인할 수 있다. 구·시·군청 홈페이지를 통해 인터넷으로 열람하는 경우 자신의 정보만 확인할 수 있다.선거인명부에 누락 또는 잘못된 표기가 있거나 자격이 없는 선거인이 올라 있는 것이 확인되면 열람 기간 구·시·군청에 구두, 서면으로 이의신청 할 수 있다.선거인명부는 열람 및 이의신청 기간을 거쳐 오는 29일에 최종 확정된다.실제로 지난 2022년 제20대 대통령선거 당시 선거권 있는 도민 2명이 선거인명부에 누락됐다. 선거를 앞두고 가족의 사망신고를 하는 과정에서 공무원의 실수로 사망한 가족 대신 선거인이 명부에서 누락된 것이다.경기도선관위 관계자는 “선거권이 있는 유권자라도 선거인명부에 등재되지 않으면 투표할 수 없다. 선거인명부에 올라 있는지 꼭 확인해달라”고 당부했다.[수원=뉴시스]"
내일부터 4·10총선 선거운동 시작…후보 관련글 SNS 공유 주의,2024/03/27 10:23,"ⓒ뉴시스제22대 국회의원 선거의 선거운동이 오는 28일부터 다음달 9일까지 공식 시작된다. 유권자의 경우 후보자 비방, 허위사실 적시 글 사회관계망서비스(SNS) 공유 행위에 특히 주의가 요구된다.중앙선거관리위원회는 27일 “선거운동을 할 수 있는 사람은 누구든지 선거기간 개시일인 3월28일부터 선거일 전일인 4월9일까지 ‘공직선거법’에서 제한되지 않는 방법으로 선거운동을 할 수 있다”고 밝혔다.중앙선관위에 따르면 총선에 출마하는 후보자는 인쇄물·시설물 이용, 공개장소 연설 및 대담, 언론매체·정보통신망 이용 등의 선거운동을 할 수 있다.우선 후보자가 선거벽보와 선거공보를 작성해 선관위에 제출하면 선관위는 지정된 장소에 선거벽보를 붙이고 매 세대에 선거공보를 발송한다.후보자 및 그의 배우자와 직계존비속, 후보자와 함께 다니는 선거사무장·선거사무원 등은 후보자의 명함을 배부할 수 있다.또 선거구 안의 읍·면·동수의 2배 이내에서 거리에 현수막을 게시할 수 있다. 다만 정당은 선거기간 중 시설물 등을 이용해 자당의 정책이나 정치적 현안에 대한 입장을 홍보할 수 없으므로 이미 게시된 정당 현수막을 이날까지 철거해야 한다.후보자와 선거사무장, 선거연락소장, 선거사무원 또는 이들이 선거운동을 할 수 있도록 지정한 사람은 선거운동 기간 오전 7시부터 오후 11시까지 공개장소에서 연설대담을 할 수 있다.다만 공개장소 연설·대담용 확성장치는 오전 7시부터 오후 9시까지 사용 가능하다. 녹화장비는 소리 출력없이 화면만 표출하는 경우에 한 해 오후 11시까지 사용할 수 있다.비례대표국회의원선거에서 후보자를 추천한 정당은 정강·정책 등 홍보에 필요한 사항을 신문방송에 광고할 수 있고, TV·라디오에 방송연설을 할 수 있다.후보자는 문자·그림말·음성·화상·동영상 등 선거운동정보를 자동동보통신의 방법으로 전송하거나 전송대행 업체에 위탁하여 전자우편으로 전송할 수 있다.후보자와 후보자를 추천한 정당은 인터넷언론사의 인터넷 홈페이지에 선거운동을 위한 광고를 할 수 있으며, 해당 광고에는 광고근거, 광고주명과 ‘선거광고’ 표시를 해야 한다.유권자는 선거일을 빼고는 말이나 전화로 특정 정당이나 후보자에 대한 지지를 호소할 수 있다. 길이·너비·높이 25㎝ 이내의 소품을 이용하는 것도 가능하다.이와 함께 인터넷, 전자우편, 문자메시지, SNS를 이용한 선거운동은 선거 당일에도 할 수 있다.그러나 누구라도 자원봉사의 대가로 수당이나 실비를 요구하거나 받을 수 없고, 기표소 안에서 투표지를 촬영하거나 촬영한 투표지를 SNS 등에 게시할 수 없다.특히 후보자 비방이나 허위사실이 적시된 글을 SNS로 공유하거나 퍼 나르는 행위는 위법 가능성이 있기 때문에 주의가 필요하다.중앙선관위는 “이번 선거가 공정하고 깨끗하게 치러질 수 있도록 모두가 선거법을 준수하는 가운데 정당과 후보자는 정책으로 정정당당히 경쟁하고, 유권자도 공약과 인물을 꼼꼼히 따져보고 선택해달라”고 전했다.[서울=뉴시스]"
지방공사 상근직원 선거운동 금지 ‘위헌’…교회서 ‘금지’는 ‘합헌’,2024/01/25 18:30,"이종석 헌법재판소장를 비롯한 헌법재판관들이 25일 오후 서울 종로구 헌법재판소 대심판정에서 1월 사건 선고를 앞두고 자리에 앉아 있다. 2024.1.25/뉴스1 ⓒ News1 이동해 기자올해 4월 10일 치러지는 총선에선 지방공사 직원도 특정 후보나 정당을 지지하는 선거운동을 할 수 있다. 교회 등 종교기관에서의 선거운동은 지금처럼 계속 금지된다.헌법재판소는 25일 지방공사 상근직원의 선거운동을 금지한 공직선거법 조항에 대해 안산도시공사 직원들이 낸 위헌법률심판제청 사건에서 재판관 7 대 2 의견으로 위헌 결정을 내렸다.헌재는 “공직선거법은 지방공사 상근직원이 선거에 입후보할 수 있도록 하고 있다”며 “상근직원에까지 선거운동을 금지하는 것은 과도하다”고 밝혔다. 반면 이종석 헌재 소장과 이영진 재판관은 “직급이 낮다고 하여 선거에 미치는 영향력이 낮다고 단정할 수 없다”며 합헌 의견을 냈다.헌재는 2018년 2월 정부 공기업인 코레일 직원의 선거운동을 금지하는 공직선거법 조항에 대해 위헌 결정을, 2022년 6월 지방공사인 서울교통공사 직원의 정당 내 경선 선거운동 금지 조항에 대해 위헌 결정을 내렸다. 국회는 헌재 결정을 반영해 지방공사 직원이 정당 내 경선 선거운동을 할 수 있도록 지난해 8월 공직선거법을 개정했는데, 이날 헌재 결정으로 당내 경선은 물론, 총선 등 일반 선거에서 모두 선거운동을 할 수 있게 됐다.다만 헌재는 종교기관에서의 선거운동을 금지하는 공직선거법 조항은 재판관 전원일치 의견으로 합헌으로 결정했다. 서울 송파구의 한 교회 목사는 2020년 4월 총선을 앞두고 교회에서 설교를 하면서 “여러분, 2번, 황교안 장로 당입니다. 2번 찍으시고”라고 말한 혐의로 기소돼 벌금 50만 원이 확정되자 헌법소원 심판을 청구했다. 전남 광주의 한 교회 목사도 2022년 대선을 앞두고 당시 대선후보였던 더불어민주당 이재명 대표를 비판하며 표를 주지 말라고 신도들에게 말했다가 1심에서 벌금 150만 원을 선고받자 헌법소원 심판을 청구했다.장은지 기자 jej@donga.com"
"“푸바오 탈은 되지만 복장은 위반”…與野, 까다로운 선거법에 진땀",2024/03/24 19:19,크게보기4·10 총선 후보를 확정한 여야가 28일부터 시작되는 공식 선거운동 전부터 사실상 ‘선거 유세’를 시작한 가운데 까다로운 공직선거법을 지키느라 진땀을 빼고 있다. 사전 선거운동은 원칙상 금지지만 현행 선거법상 선거기간 전이라도 육성 발언 등으로 일부 선거 지원을 할 수 있다. 이에 여야는 상대 당 대표의 마이크 사용을 문제삼으며 고발전에 나섰다. 공식 선거운동 기간은 이달 28일부터 선거 전날인 다음달 9일까지다.여야가 가장 까다롭게 여기면서 또 상대를 공격하기 위한 수단으로 사용하는 것은 공직선거법 59조다. 이 조항은 말로 하는 선거운동은 상시 허용하지만 마이크 등 확성장치 사용은 공식 선거운동기간에만 가능하도록 해놨다. 한동훈 비상대책위원장이나 더불어민주당 이재명 대표가 사람이 많이 모인 시장에서도 손을 모아서 외치기만 하고 마이크를 사용하지 않는 것도 이 조항 때문이다.국민의힘 중앙선대위 클린선거본부는 민주당 이 대표를 겨냥해 “이 대표가 다수의 군중을 모아 놓고 지역 유세시 ‘현장 기자회견’을 빙자한 꼼수 마이크를 사용했다”며 고발을 예고했다. 야당은 한 위원장이 21일 대구에서 열린 윤재옥 원내대표 선거 사무소 개소식에서 마이크를 활용해 지지 발언을 한 것과 관련해 “불법 선거운동”이라고 경찰에 고발하겠다고 했다. 녹색정의당은 25일 경찰청에 한 위원장을 공직선거법 위반 혐의로 고발할 계획이다.양당이 띄운 비례용 위성정당도 공직선거법 공방의 쟁점이 됐다. 공직선거법 88조에 따르면 선거 후보자는 다른 정당의 후보자를 위한 선거운동을 할 수 없도록 돼 있다. 국민의힘은 전날(23일) 이 대표가 포천시에서 “더불어민주연합 비례 24번 서승만이었습니다. 24번까지 당선시켜야지요”라고 말한 내용을 문제 삼았다. 박정하 중앙선대위 공보단장은 논평에서 “민주당 대표가 민주당 간판을 달고 지역구 출마하는 후보자가 민주당이 아닌 정당의 후보자에 대한 지지를 호소하는 것은 명백한 법 위반 사항”이라고 했다.최근 중앙선거관리위원회는 판다 ‘푸바오’의 탈은 선거법 위반이 아니지만 푸바오 복장은 선거법 위반 소지가 있다는 유권해석을 내리기도 했다. 국민의힘 홍정석 전 용인을 예비후보는 당 공천 면접 때 푸바오 탈을 들고 나와 화제가 됐다. 선관위 관계자는 “공직선거법 60조와 공직선거관리규칙 26조에 따르면 예비후보자의 표지물의 길이와 너비는 100cm 이내여야 한다”며 “탈의 경우 이 규정에 맞지만 복장의 경우 규격을 넘어가기 때문에 금지한다”고 말했다.권구용 기자 9dragon@donga.com윤다빈 기자 empty@donga.com
"헌재, “○장로 속한 당 뽑아라” 목사 선거운동 불가…지방공사 직원은 가능",2024/01/25 15:41,"헌법재판소. 게티이미지뱅크25일 헌법재판소가 목사 등 종교 지도자의 선거운동을 금지한 공직선거법 조항이 합헌이라는 결정을 내렸다. 반면, 지방공사 상근직원의 선거운동을 제한한 공직선거법 조항에 대해서는 위헌 결정을 했다.● “목사의 설교 선거운동, 왜곡된 정치 의사 형성 가능성”…전원 일치로 합헌 결정헌재는 25일 교회 목사 A 씨가 공직선거법 제85조3항이 종교적 자유를 침해하는 위헌 조항이라며 낸 헌법소원심판에서 참여 재판관 전원(8명) 일치 의견으로 합헌 결정을 내렸다고 밝혔다.서울 송파구의 한 교회 담임 목사인 A 씨는 21대 총선을 앞둔 2020년 3월경 예배 설교를 하며 신도들에게 “□ 장로가 속한 당이니 이 지역구는 ○당를 찍어라”는 취지의 설교를 했다. 광주의 한 담임목사인 B 씨도 20대 대선을 앞두고 “이재명 (당시 대선 후보의) 선거공약을 믿냐 멍청한 것들아”, “이재명은 공산주의를 하겠다는 것”이라는 발언을 설교 시간에 했다. 검찰은 A 씨, B 씨를 공직선거법 위반 혐의로 재판에 넘겼다.공직선거법 제85조3항은 “누구든지 교육적·종교적 또는 직업적인 기관·단체 등의 조직 내에서의 직무상 행위를 이용해 그 구성원에 대해 선거운동을 하게 할 수 없다”고 규정하고 있다. 법원은 당시 이 조항을 근거로 A 씨, B 씨의 공직선거법 위반 혐의를 유죄로 판단하고 벌금형을 선고했다.이날 헌재는 “성직자는 종교지도자일 뿐만 아니라 경우에 따라서 사회지도자로 대우받으며 신도에게 상당한 영향력을 행사할 수 있다”며 “종교적 신념을 공유하는 신도에게 자신의 지도력, 영향력을 기초로 공직선거에서 특정인이나 특정 정당에 대한 지지·반대를 끌어내려 하는 경우 왜곡된 정치적 의사를 형성할 가능성이 커진다”고 결정 이유를 밝혔다.●“지방공사 상근직원, 선거운동 전면 금지할 정도로 권한 크지 않아”…7대2로 위헌 결정반면 헌재는 지방공사 상근직원들이 낸 위헌법률심판에서 ‘지방공사 상근직원에 대하여 공직선거와 관련한 선거운동을 원칙적으로 금지하고 이에 위반한 행위를 처벌한다’는 내용의 공직선거법 제60조 제1항 5호에 대해 7(위헌)대 2(합헌) 의견으로 위헌 결정을 내렸다.해당 심판의 신청인은 안산도시공사 상근직원들로, 지방공기업법상 지방공사의 상근직원임에도 불구하고 선거운동을 했다는 이유(공직선거법 위반)로 공소 제기 됐었다. 이후 안산도시공사 상근직원들은 지방공사 상근직원의 선거운동을 금지하고 이를 위반한 경우 처벌하는 내용의 공직선거법 조항들에 대해 위헌법률심판제청을 신청했고, 법원은 이를 받아들였다.게티이미지뱅크헌재는 “△선거운동을 전면적으로 금지하여야 할 정도로 지방공사 상근직원의 권한이 크다고 보기 어려운 점 △공직선거법은 이미 지방공사의 상근직원이 직무상 행위를 이용해 선거의 공정성 및 형평성을 해할 수 있는 행위를 금지하고 그 위반행위를 처벌하는 규정을 별도로 마련하고 있는 점 등을 고려해 위헌 결정을 내렸다”고 밝혔다. 이에 이번 4월 총선부터 지방공사 상근직원의 선거운동이 가능해질 전망이다.반면 합헌 의견을 낸 2명의 재판관은 “지방공사는 공공성의 실현에 기여하는 광범위한 영역의 사업에 관해 특정 지역에서 이를 집중적으로 수행할 수 있다”며 “상근직원이 직을 그대로 유지한 채 선거운동을 할 경우, 선거의 형평성과 공정성에 영향을 미칠 수 있는 영향력이 일반 사기업 직원보다 크지 않다고 단정하기 어렵다”는 견해를 냈다.이예지 동아닷컴 기자 leeyj@donga.com"
중앙선관위 “이달 24~26일 총선 선거인명부 열람·이의신청”,2024/03/22 15:19,"‘4.10 총선’을 30일 앞둔 11일 오후 경기 과천 중앙선거관리위원회 계단에 투표 독려 문구가 표시돼 있다. 2024.3.11. 뉴스1중앙선거관리위원회는 “제22대 총선 선거권자는 24일부터 26일까지 선거인명부를 열람하고, 누락이나 잘못된 표기 등 오류가 있는 경우 이의신청할 수 있다”고 22일 밝혔다.중앙선관위는 이날 보도자료를 통해 “선거인명부는 구·시·군의 장이 선거일명부작성기준일(3월19일) 현재 관할 구역에 주민등록이 되어 있는 선거권자를 대상으로 하며 19일부터 5일 동안 작성된다”며 이같이 공지했다.중앙선관위는 “선거인명부 확인은 인터넷 또는 주민등록이 되어 있는 구·시·군청에 직접 방문하는 방법으로 가능하다”며 “구·시·군청 홈페이지를 통해 인터넷으로 열람하는 경우 자신의 정보만 확인할 수 있다”고 했다.이어 “선거인명부에 누락 또는 잘못된 표기가 있거나 자격이 없는 선거인이 올라와 있는 것이 확인되면, 열람 기간 중 구·시·군청에 구두, 서면으로 이의신청할 수 있다”며 “선거인명부는 열람 및 이의신청 기간이 지난 후 3월 29일에 최종 확정된다”고 설명했다.그러면서 “선거권이 있는 유권자라도 선거인명부에 등재되지 않으면 투표할 수 없다”며 “선거인명부에 올라와 있는지 꼭 확인해달라”고 강조했다.(서울=뉴스1)"
"총선 직전 유권자 대상 집회 개최…선관위, 후보·사무장 경찰 고발",2024/04/06 21:05,제22대 국회의원 선거 사전 투표 둘째 날인 6일 오후 전남 나주 남평초등학교 사전투표소에서 유권자들이 신중하게 투표하고 있다. 2024.4.6/뉴스1 ⓒ News1 김태성 기자(사진은 기사 내용과 무관함)22대 국회의원 선거를 앞두고 유권자에 영향을 미치는 집회를 연 선거 출마자와 캠프 사무장이 경찰에 넘겨졌다.인천시 계양구선거관리위원회는 공직선거법 위반 혐의로 국회의원 선거 후보자 A 씨와 그의 캠프 사무장 B 씨를 경찰에 고발했다고 6일 밝혔다.A 씨 등은 4·10 총선 선거 운동 기간에 유권자들을 대상으로 집회를 개최한 혐의를 받고 있다.특히 B 씨는 집회에 참석해 상대 후보자의 정책 공약을 비판하는 개인적 정견을 얘기하는 등 선거에 직접적인 영향을 미친 혐의도 받는다.공직선거법 제101조에 따르면 선거 기간에는 누구든 선거에 영향을 미치려는 의도로 개인 정견 발표회나 시국 강연회 등을 열 수 없다. 다만 법에 규정된 연설·대담·토론회는 개최할 수 있다.또 같은 법 제103조는 선거 기간에 25명이 넘는 집회나 모임을 개최할 수 없도록 규정했다.계양구선거관리위원회 관계자는 “선거 막바지 공직선거법 위반행위에 대해 엄중히 대할 것”이라며 “관련 법을 위반하는 행위가 발생하지 않도록 각별히 유의해 달라”고 말했다.(인천=뉴스1)
"국민의힘 “이재명, 타 정당 후보 유세·꼼수 마이크…선거법위반 고발”",2024/03/24 15:22,"포천 유세서 ""민주연합 서승만까지 당선""""기형적 선거제 만들더니 법률까지 위반""""기자회견 빙자 마이크 사용… 규정 위반""ⓒ뉴시스국민의힘 중앙선대위 클린선거본부는 24일 이재명 더불어민주당 대표를 타 정당 후보를 위한 선거운동과 ‘꼼수’ 마이크 사용 등 공직선거법 위반 혐의로 고발할 예정이라고 밝혔다.국민의힘 클린선거본부는 이날 언론 공지에서 “이재명 대표는 지난 23일 포천시에서 ‘더불어민주연합 비례24번 서승만이었다. 24번까지 당선시켜야죠’라고 말하여 민주당 계양을 지역구에 출마한 후보자임에도, 다른 정당의 후보자를 위한 선거운동을 했다”고 지적했다.이어 “공직선거법에 명백히 위배된다”며 민주당 스스로도 지역구 후보자가 다른 정당의 비례후보를 지원할 경우 선거법 위반이 될 수 있음을 공지한 바 있다“고 했다.국민의힘 클린선거본부는 ” 민주당이 정략적 목적으로 ‘준연동형 비례제’를 단독으로 통과시킬 때 이미 예견됐던 일“이라며 ”국민들도 이해하기 어려운 기형적 선거 제도를 만들어 놓고, 현행 법률까지 위반했으므로 책임을 묻지 않을 수 없다“고 주장했다.국민의힘 클린선거본부는 이 대표가 ‘후보자 등은 다른 정당이나 선거구가 같거나 일부 겹치는 다른 후보자를 위한 선거운동을 할 수 없다’고 규정한 공직선거법 제88조를 위반했다는 입장으로 알려졌다.다만 88조는 ‘정당이나 후보자를 위한 선거운동을 함에 있어서 그 일부가 다른 정당이나 후보자의 선거운동에 이른 경우, 같은 정당이나 같은 정당의 추천후보자를 지원하는 경우’ 등은 법 적용 예외 대상으로 규정하고 있다.국민의힘 클린선거본부는 ”지역 유세시 ‘현장 기자회견’을 빙자한 꼼수 마이크 사용 혐의“이라며 ”동탄호수공원, 서울 마포, 전남대, 파주 금릉역 중앙광장에서 다수의 군중을 모아 놓고, ‘야외 기자회견’을 핑계로 마이크로 선거 유세를 해 공직선거법상 확성장치 사용금지 규정을 어겼다“고도 밝혔다.이어 ”기자회견문 형식을 빌어 다수의 군중에게 사실상 선거 유세를 했고, 기자들 질문은 선택적으로 받으며, 주로 국민의힘 후보자들에 대한 사실상 낙선 운동을 했다“며 ”이런 꼼수 마이크 사용이 허용된다면 어느 후보나 기자회견이라는 팻말만 붙여놓고 마이크나 확성기를 무한정 사용할 수 있게 되어 선거가 혼탁해 질 것“이라고 했다.공직선거법 91조 제1항은 ‘법의 규정에 의한 공개장소에서의 연설·대담장소 또는 대담·토론회장에서 연설ㆍ대담·토론용으로 사용하는 경우를 제외하고는 선거운동을 위해 확성장치를 사용할 수 없다’고 정하고 있다.[서울=뉴시스]"
"“시각장애인도 선거 정보 쉽게”…선관위, 인권위 권고 수용",2024/02/29 13:48,제22대 국회의원 선거를 40여일 앞둔 28일 부산 수영구 민락동 용화여객자동차 차고지에서 부산시선거관리위원회 직원들이 정책선거에 대한 관심과 투표 참여율을 높이기 위해 ‘버스타고·정책보고·투표하고’ 캠페인을 하고 있다. 2024.2.28. 뉴스1국가인권위원회(인권위)는 중앙선거관리위원회(선관위)가 선거 관련 정보 제공 시 시각장애인을 위한 편의를 제공하라는 권고를 수용했다고 29일 밝혔다.인권위는 지난해 10월16일 선관위원장을 대상으로 △선관위 홈페이지에 게시되는 선거 관련 정보 △책자형 선거공보 내용을 음성·점자 등으로 출력되도록 전환한 디지털 파일을 제공하는 등 장애인에게 동등한 접근성을 제공하도록 권고했다.이에 대해 선관위는 정당·후보자가 제출해 홈페이지에 게시되는 선거 관련 정보 모든 파일에 대해 문자인식 여부를 확인·보완하겠다고 밝혔다. 또 후보자에게 시각장애인 접근성 디지털 선거공보와 디지털 파일 저장매체에 점자 라벨 등을 부착해 제출하도록 하겠다고 회신했다.인권위는 “4월10일 실시되는 제22대 국회의원선거에서 장애인에 대한 정당한 편의 제공이 보장되길 기대한다”고 밝혔다.(서울=뉴스1)
"선관위, 22대 총선 선거범죄 2건 9050만원 포상금 첫 지급",2024/03/19 16:31,"노태악 중앙선거관리위원회 위원장이 15일 오후 경기 과천시 중앙선거관리위원회에서 열린 제22대 국회의원선거 시·도 위원회 위원장 화상회의를 주재하고 있다. 2024.3.15. 뉴스1중앙선거관리위원회는 4·10 총선 예비후보자와 측근의 매수 및 기부행위 2건에 대해 총 9050만원의 포상금을 지급한다고 19일 밝혔다. 이번 총선의 첫 포상금 지급 사례다.선관위는 △전화를 이용한 경선선거운동 대가로 자원봉사자에게 일당을 지급한 건에 6400만 원 △선거구민을 모아 선거운동을 하고 참석자에게 식사를 제공한 건에 2650만원을 각각 지급할 예정이다.선관위는 기부·매수행위, 공무원 등의 선거관여행위, 허위사실공표·비방, 조직·단체 불법 이용 등 중대 선거범죄에 엄정 대응한다는 방침이다. 특히 금품 수수 및 기부행위 등을 근절하기 위해 적극적인 신고와 제보를 부탁했다.선거법 위반행위를 신고하는 사람에게는 최고 5억 원의 포상금이 지급되며, 신분은 철저히 보호된다.지난 21대 총선에서는 △직원에게 선거운동을 하고 선거구민에 선물제공한 건에 1억원 △입후보예정자의 기부행위에 1890만원 등 포상금이 지급된 바 있다.(서울=뉴스1)"
